Polymetal;POLY;175924;0,11;2,019;299358412056;34996;0
iНПОНаука;NAUK;81992;-0,58;4,451;2499374000;210;0
АВТОВАЗ;AVAZ;39;-0,29;1,162;45615435338,7;93000;0
АЛРОСА;ALRS;81820;-0,05;2,053;676766691740,7;14999700;9,9
АФК Система;AFKS;19715;-0,82;5,711;219103250000;19504800;0
АбрауДюрсо;ABRD;82460;0,86;3,985;13965026220;700;0
Авангард;AVAN;82843;-1,48;7,873;37686900000;30;0
Акрон;AKRN;17564;-0,12;0,941;132546180000;1127;8
Аптеки 36 и 6;APTK;13855;-0,77;2,351;19693969228,7;3539200;0
Аэрофлот;AFLT;29;0,31;2,293;187971808605,75;1645600;0
Банк Возрождение;VZRZ;17068;-0,04;0,606;17538410519;1728;0
Банк Санкт-Петербург;BSPB;20066;-0,01;2,259;26834771700;190570;1,7
Башнефть;BANE;81757;-0,19;2,878;535204290180;2125;0
ВСМПО-АВИСМА;VSMO;15965;0,23;1,498;160491168960;180;13,5
ВТБ;VTBR;19043;0,01;1,13;860191128559,12;4208120000;1,8
Варьеган;VJGZ;81954;0,47;6,832;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,17;1,35;3026658624265;24546840;6,6
ГМК Норникель;GMKN;795;-0,21;1,252;1406960527116;144911;5,4
Газпромнефть;SIBN;2;-0,21;1,456;965565671482,35;377170;5,3
Галс-Девел;HALS;17698;-0,23;3,024;13236170920;6;0
Группа ПИК;PIKK;18654;0,02;1,445;192072627635,2;124120;0
Детский Мир;DSKY;473181;0,16;1,957;64869420000;50370;0
Дикси;DIXY;18564;-0,22;1,42;30177025000;25410;0
Дорогобуж;DGBZ;17919;0,02;1,428;31603357286;2200;7
Европлан;EPLN;451471;0,05;1,07;83951618832;29220;0
ИнтерРАО;IRAO;20516;0,2;2,393;423237600000;62280000;0
Иркутскэнерго;IRGZ;9;0,28;2,335;87041908602;78600;0
КАМАЗ;KMAZ;15544;-0,08;1,492;40983952944,05;11700;0,8
Казаньоргсинтез;KZOS;81856;0,55;2,606;102465543600;16600;7,6
КоршГОК;KOGK;20710;0,99;7,637;21410785600;4;0
Кубаньэнерго;KUBE;522;-0,25;2,225;26052154773;3850;0
Куйбазот;KAZT;81941;-0,17;2,258;20534779512,3;300;0
ЛСР Группа;LSRG;19736;-0,05;1,202;95869615057,5;19213;8,5
ЛУКОЙЛ;LKOH;8;-0,18;1,419;2540207161057,5;622817;7
Лензолото;LNZL;21004;-0,39;1,555;9384669000;4;0
Ленэнерго;LSNG;31;-0,17;2,799;8393603085,34;1698900;0
М.Видео;MVID;19737;0,07;0,628;67197363252,6;99620;0
МГТС;MGTS;12984;0,97;6,097;67672729599;430;17,9
МКБ;CBOM;420694;0,04;0,629;104306572694,69;3280100;0
ММК;MAGN;16782;-0,24;2,199;412165162050;6408600;0
МОЭСК;MSRS;16917;-0,17;1,76;48658384482,43;1453000;3,6
МРСК Центра;MRKC;20235;0,17;3,021;16528324084,72;17195000;4,8
МТС;MTSS;15523;-0,19;2,246;552452586408,75;972500;0
Магнит;MGNT;17086;0,04;1,521;886796387190;68075;2,9
МегаФон;MFON;152516;-0,14;1,391;394816000000;424930;10,7
Мегион;MFGS;30;-0,19;3,39;59585348295;190;0
Мечел;MTLR;21018;0,06;3,506;63589519006,2;428202;0
Московская Биржа;MOEX;152798;-0,33;2,168;256916264585,75;11172850;7,9
МосОблБанк;MOBB;82890;-0,03;3,198;22449760877,76;183900;0
МосЭнерго;MSNG;6;-0,02;2,435;96352447912,8;15583000;3
Мостотрест;MSTT;74549;0,23;1,526;29689070600;19640;9,7
НКНХ;NKNC;20100;-0,47;2,228;86363321600;3900;0
НКХП;NKHP;450432;0,16;2,009;11559087000;60;0
НЛМК;NLMK;17046;-0,09;1,502;673339080414;4432690;8,5
НМТП;NMTP;19629;0,36;1,868;116618182247;15556000;18,4
Новатэк;NVTK;17370;-0,17;1,311;2148793756200;986300;2,1
ОАК;UNAC;22843;-0,01;2,828;283597530130,34;7540000;0
ОВК;UWGN;414560;-0,1;1,151;90966006296;174264;0
ОГК-2;OGKB;18684;-0,37;2,736;50272816428,02;341800000;0
ОКС;UCSS;175781;0,03;0,372;25972147320;14;0
Отисифарм;OTCP;407627;-0,18;1,594;26103380394;220;0
Открытие;OFCB;80728;0,22;1,433;323731831668;3800;0
ПРОТЕК;PRTK;35247;-0,05;1,488;54611999985,2;53000;7,4
Полюс золото;PLZL;17123;0;0,601;845624685692;2520;0
Промсвязьбанк;PSBR;152320;0,03;0,645;83058556410,46;1320000;0
РБК;RBCM;74779;-0,07;3,702;2418649131,15;1028200;0
РГС СК;RGSS;181934;0,09;1,456;241541945276,32;13527000;0
Распадская;RASP;17713;-0,28;3,668;49392166886,08;2442880;0
Росбанк;ROSB;16866;-0,34;2,3;98514017665,5;2890;0
Роснефть;ROSN;17273;-0,12;1,405;3439108701616,5;4914700;2
Россети;RSTI;20971;-0,25;3,437;186548592765,12;249510000;0
Ростелеком;RTKM;7;-0,14;1,271;197161238027,78;1917030;7,5
РусГидро;HYDR;20266;-0,13;2,329;365204542053,5;450599000;0
Русал;RUAL;414279;-0,08;2,215;447586217834,52;278100;3,9
Русполимет;RUSP;20712;-0,2;2,421;2436311069,64;610000;0
РуссНефть;RNFT;465236;0,08;0,504;165060144000;29875;0
