Polymetal;POLY;175924;-0,07;2,265;299358412056;53283;0
iНПОНаука;NAUK;81992;0,34;4,894;2499374000;40;0
АВТОВАЗ;AVAZ;39;0,11;1,826;45615435338,7;271900;0
АЛРОСА;ALRS;81820;0,12;1,779;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,13;3,269;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,35;2,698;13965026220;0;0
Авангард;AVAN;82843;1,41;12,737;37686900000;0;0
Акрон;AKRN;17564;-0,05;1,328;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,27;1,758;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,36;1,96;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;0,07;0,708;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;0,09;1,801;26834771700;43280;1,7
Башнефть;BANE;81757;-0,01;2,477;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;0,09;1,387;160491168960;624;14,7
ВТБ;VTBR;19043;-0,01;1,206;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,12;4,032;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,06;1,23;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,04;1,324;1406960527116;233230;5,7
Газпромнефть;SIBN;2;0,09;1,156;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;-0,09;2,828;13236170920;1;0
Группа ПИК;PIKK;18654;0,09;1,2;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,12;1,38;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,08;1,266;31603357286;477600;7,4
Европлан;EPLN;451471;0,09;0,726;83951618832;19880;0
ИнтерРАО;IRAO;20516;0,23;1,953;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0;2,154;87041908602;342100;0
КАМАЗ;KMAZ;15544;0,19;1,9;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,27;1,791;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,82;5,949;21410785600;7;0
Кубаньэнерго;KUBE;522;0,02;2,062;26052154773;790;0
Куйбазот;KAZT;81941;-0,01;1,712;20534779512,3;0;0
ЛСР Группа;LSRG;19736;0,03;1,22;95869615057,5;20829;8,7
ЛУКОЙЛ;LKOH;8;0,01;1,356;2540207161057,5;919258;7,1
Лензолото;LNZL;21004;0,01;2,11;9384669000;21;0
Ленэнерго;LSNG;31;0,18;2,634;8393603085,34;449400;0
М.Видео;MVID;19737;0,12;1,484;67197363252,6;63170;0
МГТС;MGTS;12984;0,2;3,637;67672729599;430;17
МКБ;CBOM;420694;0,03;0,663;104306572694,69;4679100;0
ММК;MAGN;16782;0,12;2,061;412165162050;15706000;6,3
МОЭСК;MSRS;16917;0,01;1,8;48658384482,43;1888000;3,6
МРСК Центра;MRKC;20235;0,35;2,677;16528324084,72;13900000;4,5
МТС;MTSS;15523;0,04;1,596;552452586408,75;4143750;0
Магнит;MGNT;17086;0;1,779;886796387190;59976;3,1
МегаФон;MFON;152516;-0,06;1,382;394816000000;203490;10,9
Мегион;MFGS;30;0,1;2,7;59585348295;30;0
Мечел;MTLR;21018;0,48;3,853;63589519006,2;621823;0
Московская Биржа;MOEX;152798;-0,03;1,894;256916264585,75;7302950;7,5
