Polymetal;POLY;175924;0;2,268;299358412056;58038;0
iНПОНаука;NAUK;81992;0,34;5,262;2499374000;150;0
АВТОВАЗ;AVAZ;39;0,06;1,788;45615435338,7;286800;0
АЛРОСА;ALRS;81820;0,1;1,779;676766691740,7;21992600;10,1
АФК Система;AFKS;19715;-0,14;3,207;219103250000;28125600;6,5
АбрауДюрсо;ABRD;82460;0,31;2,603;13965026220;100;0
Авангард;AVAN;82843;1,41;12,737;37686900000;0;0
Акрон;AKRN;17564;-0,09;1,357;132546180000;73937;8,4
Аптеки 36 и 6;APTK;13855;-0,3;1,721;19693969228,7;388940;0
Аэрофлот;AFLT;29;0,35;1,974;187971808605,75;4548000;9,3
Банк Возрождение;VZRZ;17068;0,07;0,682;17538410519;281;1
Банк Санкт-Петербург;BSPB;20066;0,06;1,801;26834771700;137140;1,7
Башнефть;BANE;81757;0;2,367;535204290180;1655;0
ВСМПО-АВИСМА;VSMO;15965;0,12;1,196;160491168960;376;13,4
ВТБ;VTBR;19043;-0,01;1,217;860191128559,12;7957730000;1,8
Варьеган;VJGZ;81954;0,09;4,048;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,07;1,222;3026658624265;55411890;6,8
ГМК Норникель;GMKN;795;-0,04;1,333;1406960527116;314631;5,7
Газпромнефть;SIBN;2;0,11;1,176;965565671482,35;154390;5,4
Галс-Девел;HALS;17698;-0,05;2,77;13236170920;0;0
Группа ПИК;PIKK;18654;0,08;1,158;192072627635,2;172840;0
Детский Мир;DSKY;473181;0,13;1,799;64869420000;1316730;3,7
Дикси;DIXY;18564;-0,11;1,434;30177025000;49650;0
Дорогобуж;DGBZ;17919;-0,06;1,285;31603357286;205900;7,2
Европлан;EPLN;451471;0,09;0,714;83951618832;91820;0
ИнтерРАО;IRAO;20516;0,31;2,177;423237600000;96118000;0
Иркутскэнерго;IRGZ;9;-0,02;2,253;87041908602;459900;0
КАМАЗ;KMAZ;15544;0,17;1,832;40983952944,05;13300;0,8
Казаньоргсинтез;KZOS;81856;0,25;1,766;102465543600;6000;7,7
