ABRD;2016-06-02;81.5;81.5;80.5;81;1000;81
AESL;2016-06-02;;;;;;
AFKS;2016-06-02;20.505;20.9;20.505;20.72;10973700;20.685
AFLT;2016-06-02;82.98;84.62;82.98;84.4;1730100;83.88
AGRO;2016-06-02;860;865;847;850;11888;853
AKRN;2016-06-02;3805;3900;3805;3865;3504;3865
ALBK;2016-06-02;;;;;;
ALNU;2016-06-02;125000;125000;124000;124000;3;124500
ALRS;2016-06-02;70.7;71;69.38;69.7;9107900;70.06
AMEZ;2016-06-02;3.21;3.26;3.2;3.24;148500;3.23
APTK;2016-06-02;13.26;13.26;13.01;13.03;266110;13.04
AQUA;2016-06-02;32.8;32.8;32.6;32.6;500;32.7
ARMD;2016-06-02;19.4;19.5;18.5;19.2;17160;18.9
ARSA;2016-06-02;2.045;2.1;1.98;2.015;46000;2.015
ASSB;2016-06-02;;;;;;
AVAN;2016-06-02;;;;;;
AVAZ;2016-06-02;8.47;8.56;8.23;8.35;181600;8.38
AVAZP;2016-06-02;3.25;3.31;3.25;3.26;262300;3.275
BANE;2016-06-02;2932;2960;2932;2960;13538;2951.5
BANEP;2016-06-02;2040;2062;2025;2025;13721;2050.5
BGDE;2016-06-02;;;;;;
BISV;2016-06-02;;;;;;
BISVP;2016-06-02;4.51;4.51;4.48;4.5;108000;4.49
BLNG;2016-06-02;4.33;4.38;4.15;4.24;223300;4.21
BRZL;2016-06-02;1260;1300;1260;1290;250;1280
BSPB;2016-06-02;56.55;56.55;54;55.5;77200;54.6
CBOM;2016-06-02;3.955;3.995;3.945;3.945;2132200;3.965
CHEP;2016-06-02;69.4;69.4;66.2;68;900;68.2
CHGZ;2016-06-02;;;;;;
CHKZ;2016-06-02;;;;;;
CHMF;2016-06-02;676;678.7;661.7;675.2;511880;668.2
CHMK;2016-06-02;3180;3185;3155;3180;22;3170
CHZN;2016-06-02;416;416;416;416;50;416
CLSB;2016-06-02;0.0935;0.0935;0.086;0.0915;500000;0.092
CLSBP;2016-06-02;0.0935;0.0935;0.089;0.089;2400000;0.0905
CNTL;2016-06-02;21.8;22.75;21.7;22.7;5600;22.35
CNTLP;2016-06-02;;;;;;
DALM;2016-06-02;;;;;;
DASB;2016-06-02;0.37;0.37;0.361;0.361;50000;0.363
DGBZ;2016-06-02;40.4;40.4;40.3;40.3;400;40.4
DIOD;2016-06-02;3.95;4.09;3.9;3.95;755000;3.94
DIXY;2016-06-02;308.1;308.6;302.4;304.1;17010;305.9
DVEC;2016-06-02;0.576;0.58;0.557;0.563;29000;0.569
DZRD;2016-06-02;1640;1680;1560;1600;26;1630
DZRDP;2016-06-02;1710;1780;1700;1700;144;1750
ELTZ;2016-06-02;548;569;542;553;19;548
ENRU;2016-06-02;0.646;0.651;0.643;0.649;2821000;0.648
EPLN;2016-06-02;611;612;611;612;15000;611
FEES;2016-06-02;0.128;0.13797;0.12782;0.13797;6258200000;0.13407
FESH;2016-06-02;2.22;2.225;2.12;2.145;1765600;2.165
FORTP;2016-06-02;;;;;;
GAZA;2016-06-02;428;431;420;430;150;427
GAZAP;2016-06-02;367;369;367;369;30;368
GAZC;2016-06-02;;;;;;
GAZP;2016-06-02;144.86;145.64;142.85;144;23755310;144.08
GAZS;2016-06-02;;;;;;
GAZT;2016-06-02;;;;;;
GCHE;2016-06-02;898;913;898;903;890;907
GMKN;2016-06-02;9028;9073;8899;8925;85848;8948
GRAZ;2016-06-02;6.8;6.84;6.53;6.6;669600;6.64
GRNT;2016-06-02;0.82;0.895;0.725;0.735;533000;0.76
GTLC;2016-06-02;0.733;0.733;0.675;0.712;32820000;0.699
